"key";"de";"en"
"Glossary.missing-one";"tadaaaa";"there is one missing tadaa"
"Pages.Page_1.html-test";"<div class=\"container--new new\"> <p>Text mit \"Anführungszeichen\"</p> </div>";"Hallo Yannick Danke für die Anpassungen. Kannst du uns noch ein Beispiel für das Array für \"MinistryTypesTranslations\" zusenden? Besten Dank Giusi"
"Pages.Page_1.a-new-one";"<textarea name=\"value[]\" id=\"\" class=\"value\"><?= $row ? htmlspecialchars($row['value']) : '' ?></textarea>";"<textarea name=\"value[]\" id=\"\" class=\"value\"><?= $row ? htmlspecialchars($row['value']) : '' ?></textarea><textarea name=\"value[]\" id=\"\" class=\"value\">"
"Pages.Page_1.eins-drei";"Eins";"One One"
"Pages.Page_1.eins-drei-eins-drei";"Eins";"One One Drei"
"Pages.Page_1.continent";"Kontinent neu";"continent new"
"Pages.Page_1.country";"Land";"land"
"Pages.Page_1.special_characters";"Spezialzeichen: äöüßÄÖÜ éèêàáâçôùûîï";"Special characters: äöüßÄÖÜ éèêàáâçôùûîï"
"Pages.Page_1.testtest";"deutsch";"english"
"Pages.Page_1.blablabla";"hahahaha";"test test jajajajaa"
"Pages.Page_1.khjgjg";"kjhgghjkg";"test test jajajajaa"
